Date,Open,High,Low,Close,Adj Close,Volume
2017-11-28,1.270000,1.270000,1.265000,1.265000,1.265000,0
2017-11-29,1.265000,1.265000,1.250000,1.258000,1.258000,0
2017-11-30,1.263000,1.263000,1.238000,1.238000,1.238000,0
2017-12-01,1.238000,1.255000,1.230000,1.235000,1.235000,0
2017-12-04,1.238000,1.250000,1.238000,1.245000,1.245000,0
2017-12-05,1.263000,1.283000,1.260000,1.283000,1.283000,0
2017-12-06,1.285000,1.290000,1.263000,1.263000,1.263000,0
2017-12-07,1.260000,1.270000,1.250000,1.260000,1.260000,0
2017-12-08,1.263000,1.263000,1.253000,1.253000,1.253000,0
2017-12-11,1.250000,1.265000,1.250000,1.263000,1.263000,0
2017-12-12,1.313000,1.313000,1.310000,1.310000,1.310000,0
2017-12-13,1.310000,1.315000,1.270000,1.273000,1.273000,0
2017-12-14,1.278000,1.293000,1.278000,1.283000,1.283000,0
2017-12-15,1.280000,1.290000,1.280000,1.285000,1.285000,0
2017-12-18,1.290000,1.320000,1.290000,1.315000,1.315000,0
2017-12-19,1.348000,1.353000,1.343000,1.353000,1.353000,0
2017-12-20,1.353000,1.370000,1.350000,1.350000,1.350000,0
2017-12-21,1.350000,1.350000,1.320000,1.320000,1.320000,0
2017-12-22,1.320000,1.320000,1.295000,1.298000,1.298000,0
2017-12-26,1.313000,1.315000,1.293000,1.303000,1.303000,0
2017-12-27,1.433000,1.435000,1.408000,1.408000,1.408000,0
2017-12-28,1.393000,1.413000,1.370000,1.370000,1.370000,0
2017-12-29,1.365000,1.380000,1.350000,1.355000,1.355000,0
